title,year,imdb_rating,metascore,taste_gap
The Shawshank Redemption,1994,93,82.0,-84.8
The Godfather,1972,92,100.0,-82.0
The Dark Knight,2008,90,84.0,-81.6
Fight Club,1999,88,67.0,-81.3
Inception,2010,88,74.0,-80.6
The Lord of the Rings: The Return of the King,2003,90,94.0,-80.6
Schindler’s List,1993,90,95.0,-80.5
12 Angry Men,1957,90,97.0,-80.3
Life Is Beautiful,1997,86,58.0,-80.2
The Green Mile,1999,86,61.0,-79.9
Forrest Gump,1994,88,82.0,-79.8
The Lord of the Rings: The Fellowship of the Ring,2001,89,92.0,-79.8
The Matrix,1999,87,73.0,-79.7
Interstellar,2014,87,74.0,-79.6
Pulp Fiction,1994,89,95.0,-79.5
Se7en,1995,86,65.0,-79.5
The Intouchables,2011,85,57.0,-79.3
The Lord of the Rings: The Two Towers,2002,88,87.0,-79.3
"The Good, the Bad and the Ugly",1966,88,90.0,-79.0
American History X,1998,85,62.0,-78.8
